Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Information / Theft from Person,5400 S. Ellis ,7/23/16,7/23/16 6:30 PM,Two unknown suspects snatched cell phone from the hand of a victim walking on the sidewalk off-campus and fled on foot / CPD case,CPD,16-00619,-87.6015565,41.7977711
Information / Aggravated Battery,4600 S. Greenwood,7/23/16,7/23/16 7:00 PM,Passenger riding in a vehicle off-campus suffered a gunshot wound to the torso when unknown person fired a shot into the vehicle / Suspect and motive unknown at this time / CPD case,CPD,16-00620,-87.5993233,41.8114015
Information / Battery,5700 S. Maryland ,7/23/16,7/23/16 7:30 PM,During the course of an argument one visitor struck another in the face / Suspect left hospital before police were called / CPD case HZ361562,CPD,16-00621,-87.60495069999999,41.7910678
Found Property,5835 S. Greenwood ,7/23/16,7/23/16 8:46 PM,"Unattended, unsecured laptop computer found in room 104 / Note left for owner / Turned over to UCPD for safekeeping",Closed,16-00622,-87.59909929999999,41.7884006
Battery,1155 E. 57th St. ,7/24/16,7/24/16 12:25 AM,"As a result of an argument at a wedding reception, victim was struck on the head by one of the participants / Victim refused offer of medical assistance and refused to sign a complaint",Ex. Cleared,16-00623,-87.5975745,41.7911861
Information / Theft,Kimbark between 57th & 58th,7/24/16,7/22/16 to 7/24/16 10:00 AM to 9:10 AM,Unknown person took victim's bicycle from rear porch of off-campus residence / CPD case,CPD,16-00624,-87.5948215996778,41.790531800002256
Information / Robbery,5641 S. Kimbark ,7/24/16,7/24/16 11:00 AM,"Unknown suspect pushed victim and took iPhone, in off-campus playlot, before fleeing on a bicycle accompanied by a companion  / CPD case HZ362258",CPD,16-00625,-87.59482670000001,41.7914914
Found Property,6025 S. Ellis ,7/24/16,7/24/16 1:45 PM,Contract employee found a small baggie containing white powder (suspect narcotic) on floor in women's employee locker room / Inventoried at UCPD,Closed,16-00626,-87.60066069999999,41.7853228
Found Property,5900 S. Blackstone ,7/25/16,7/25/16 7:50 AM,Individual found Acura car key in the street - Turned over to UCPD for safekeeping,Closed,16-00627,-87.5901943,41.78794449999999
Information / Theft from Person,1402 E. 55th St.,7/25/16,7/25/16 9:35 AM,Unknown suspect riding bicycle snatched a cell phone from the hand of a victim walking on the sidewalk off-campus / Victim recovered phone when suspect fell from his bike while fleeing / CPD case HZ363379,CPD,16-00628,-87.5915188,41.7956975
Theft,5823 S. Kenwood ,7/25/16,7/25/16 2:55 PM to 2:57 PM,"Laptop computer taken from unattended, unsecured book bag left on the floor / Suspect identified / Victim declined prosecution",Ex. Cleared,16-00629,-87.5931488,41.7894307
Theft,1100 E. 57th St. ,7/25/16,7/20/16 to 7/25/16 3:30 PM to 1:30 PM,Tire and rim taken from bicycle secured to bike rack,Open,16-00630,-87.6001136,41.7922076
Theft,1029 E. 57th St. ,7/25/16,7/25/16 1:30 PM to 5:05 PM,Secured bicycle taken from bike rack,Open,16-00631,-87.5999171,41.7913772
Theft,5835 S. Kenwood ,7/25/16,7/25/16 3:15 PM to 5:15 PM,Book bag taken from unsecured locker in boy's locker room,Open,16-00632,-87.5931464,41.7893866
Theft,929 E. 57th St. ,7/25/16,7/25/16 4:00 PM to 10:30 PM,Secured bicycle taken from bike rack,Open,16-00633,-87.60270899999999,41.7908878
Recovered Motor Vehicle,1132 E. 56th St.,7/26/16,7/26/16 2:36 AM,UCPD officer recovered a parked unoccupied vehicle that had been previously been reported stolen to CPD / CPD case HZ363346,CPD,16-00634,-87.5984129,41.7932403
Damage to Property,6054 S. Drexel,7/26/16,7/22/16 to 7/26/16 6:00 PM to 10:45 AM,Damage discovered to front passenger's side wheel and tire of UC owned vehicle / Cause unknown at this time,Closed,16-00635,-87.604867,41.78464
Theft,1212 E. 59th St. ,7/26/16,7/26/16 12:30 PM to 2:00 PM,"3 individuals report cell phone and cash taken from unattended, unsecured back packs",Open,16-00636,-87.5955798,41.7882112
Information / Robbery,5445 S. Harper ,7/27/16,7/27/16 7:35 AM,Victim walking off-campus was approached from the rear by two suspects and was thrown to the ground while his cell phone was taken from his hand / Suspects fled northbound on foot / Victim declined medical attention / CPD case HZ366330,CPD,16-00637,-87.5887973,41.7967391
Non-Criminal Damage to Property,5840 S. Maryland ,7/27/16,7/27/16 10:54 AM,Small pieces of concrete fell from the ceiling damaging the roof and hood of a vehicle / No injuries reported,Closed,16-00638,-87.6049986,41.7888793
Criminal Trespass to Land,5700 S. Maryland ,7/27/16,7/27/16 12:10 PM,Individual who was illegally soliciting patrons of café was detained by UCM Public Safety Officers / Suspect charged with trespass and also identified and charged with a previous felony theft of cell phone in the café on 6/28/16,Arrest,16-00639,-87.60495069999999,41.7910678
Found Property,6054 S. Drexel,7/27/16,7/27/16 4:18 PM,First Transit bus staff found cash on Shuttle Bus and turned it over to UCPD for safekeeping,Closed,16-00640,-87.604867,41.78464
Traffic Crash,6031 S. Ellis,7/27/16,7/27/16 6:30 PM,UC Shuttle Bus involved in property damage crash / No injuries reported / MVA00117,Closed,16-00642,-87.6003487,41.78502539999999
Information / Shots Fired,Ingleside between 61st& 62nd,7/27/16,7/27/16 11:40 PM,UCPD and CPD officers responded to report of shots fired off-campus / No suspects located / No injured persons or property damage found / CPD case,CPD,,-87.61627202225547,41.831097392258975
Theft,970 E. 58th St. ,7/28/16,7/28/16 11:50 AM to 6:45 PM,Bicycle secured to bike rack taken by unknown person,Open,16-00643,-87.6014637,41.7897474
Information / Attempt Armed Robbery,1354 E. 50th St. ,7/29/16,7/29/16 7:35 AM,"Victim walking on the sidewalk off-campus was approached by 2 unknown suspects, one armed with a weapon / Suspects demanded victim's property, but fled when they observed a police car on patrol / Suspects dropped weapon (air gun) recovered by police / CPD case HZ369236",CPD,16-00644,-87.59304259999999,41.804231
Found Property,5500 S. Ellis ,7/29/16,7/29/16 4:58 PM,Individual found wallet on the sidewalk / Turned over to UCPD for safekeeping,Closed,16-00645,-87.60163899999999,41.794766
Information / Shots Fired,50th & Drexel,7/30/16,7/30/16 12:01 AM,"CPD and UCPD officers responded to a call of shots fired off-campus in the area of 50th & Drexel / No suspects, injured persons, or property damage found",CPD,,-87.6038064,41.8040967
Motor Vehicle Theft,6040 S. Ellis ,7/31/16,7/31/16 1:30 AM,"2003 Dodge Caravan stolen from Edelstone parking lot / Unoccupied van recovered by Norridge, IL PD /",Open,16-00646,-87.60117609999999,41.7851346
Injured Person,6030 S. Ellis ,8/1/16,8/1/16 9:50 AM,Individual fell from bicycle causing injury to face / Transported to ER by CFD EMS,Closed,16-00647,-87.6015846,41.7848778
Found Property,5446 S. Greenwood ,8/1/16,6/21/16 10:00 AM,Individual found a watch in Stout Park / Turned over to UCPD for safekeeping,Closed,16-00648,-87.59969459999999,41.7966012
Traffic Crash,920 E. 58th St. ,8/1/16,8/1/16 12:29 PM,"UC owned vehicle struck an intercom box in driveway / Property damage only, no injuries reported",Closed,16-00649,-87.6030845,41.7895464
Theft,970 E. 58th St. ,8/1/16,7/28/16 9:00 AM to 9:30 AM,"Individual took several pairs of headphones from the store without paying / Suspect was arrested by UCPD officers on September 8, 2016 and charged with felony theft. (Ref. 16-00755)",Arrest,16-00650,-87.6014637,41.7897474
Information / Robbery,5055 S. Lake Shore Dr.,8/1/16,8/1/16 9:45 PM,Victim walking on the sidewalk off-campus struck by one of two suspects who took his property before fleeing in a waiting vehicle / Victim transported to ER by CFD EMS for treatment / CPD case HZ374454,CPD,16-00651,-87.5837176,41.80328
Information,5482 S. Greenwood ,8/1/16,7/13/16 10:50 AM to 6:00 PM,Report of a missing package delivered by FedEx,Closed,16-00652,-87.6000492,41.7956081
Theft,1101 E. 56th St. ,8/2/16,8/2/16 1:00 AM to 10:00 AM,Secured bicycle taken from bike rack,Open,16-00653,-87.59982459999999,41.7930128
Injured Person,1155 E. 58th St. ,8/2/16,8/2/16 4:44 PM,"Visitor tripped over her personal walker, fell to the floor causing injury to right leg / CFD EMS responded and administered first aid",Closed,16-00654,-87.5974912,41.7892027
Lost Property,5807 S. Woodlawn ,8/2/16,8/2/16 5:05 PM to 5:20 PM,Individual lost Galaxy 6S phone while in the building,Closed,16-00655,-87.5955699,41.7889213
Traffic Crash,5714 S. Woodlawn,8/2/16,8/2/16 6:22 PM,UC Shuttle Bus involved in minor property damage traffic crash / No injuries reported,Closed,16-00656,-87.59681669999999,41.7908719
Medical Call,1101 E. 56th St. ,8/2/16,8/2/16 9:25 PM,Ill person transported to the hospital by CFD EMS for evaluation and treatment,Closed,16-00657,-87.59982459999999,41.7930128
Information / Aggravated Battery,5037 S. Drexel ,8/2/16,8/2/16 10:03 PM,An individual suffered a gunshot wound to the buttocks as a result of an apparent drive by shooting on the public way off-campus / A black sedan was seen leaving the scene / Victim transported to ER by CFD EMS / CPD case HZ375827,CPD,16-00658,-87.60326599999999,41.803005
Assist Other Agency / Recovered Vehicle,5334 S. Woodlawn,8/3/16,8/3/16 3:57 AM,UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to CPD / CPD case HZ350292,CPD,16-00659,-87.59692249999999,41.798451
Criminal Damage to Vehicle,1300 E. Midway Pl.,8/3/16,8/3/16 7:00 AM to 7:10 PM,Driver's side window of parked vehicle smashed,Open,16-00660,-87.1400015,41.542458
Theft,5730 S. Ellis ,8/3/16,8/3/16 1:30 PM to 8:00 PM,Secured bicycle taken from bike rack,Open,16-00661,-87.60255599999999,41.790225
Information / Theft,55th & Woodlawn ,8/3/16,8/3/16 9:05 PM to 10:00 PM,Unknown person took purse containing cell phone and other items from an off-campus establishment  / Cell phone later recovered on a CTA bus at 61st St. & Cottage Grove / Purse and other contents not recovered / CPD case,CPD,16-00662,-87.59655699999999,41.7950601
Information / Aggravated Robbery,5425 S. Harper,8/4/16,8/4/16 12:40 AM,"Victim walking off-campus was approached by two unknown suspects, one displayed an object / Suspects took victim's cell phone and fled on foot / Victim reported no injuries / CPD case",CPD,16-00663,-87.5890232,41.7971976
Information / Armed Robbery,1220 E. 54th St.,8/4/16,8/4/16 1:20 AM,Two victims walking off-campus were approached by two unknown suspects who exited a vehicle and took their property at gunpoint / Suspects reentered vehicle and drove off / Victims reported no injuries / CPD case HZ377373,CPD,16-00664,-87.59583409999999,41.79798950000001
Information / Armed Robbery,5201 S. Ingleside,8/4/16,8/4/16 1:40 AM,"Victim walking off-campus was approached by two unknown suspects, one armed with a handgun / Suspects pushed the victim to the ground and took his book bag, entered a vehicle and drove off / Victim reported no injuries / CPD case",CPD,16-00665,-87.602509,41.800612
Information / Armed Robbery,6320 S. Dorchester,8/4/16,8/4/16 12:30 PM,"Two unknown suspects, one armed with a handgun took a purse from a victim walking on the sidewalk off-campus / Victim reported no injuries / CPD case HZ377864",CPD,16-00666,-87.5922605,41.7793468
Information,Kenwood between 57th & 58th,8/4/16,8/4/13 2:00 PM to 7:00 PM,Resident returned to off-campus private apartment to find rear window and door open / No items appear to be missing / CPD case,CPD,16-00667,-87.59319894967707,41.790551750002244
Battery,5815 S. Maryland ,8/4/16,8/4/16 11:15 PM,During the course of a verbal altercation one visitor struck the other with a fist resulting in physical combat / Both parties treated for injuries and released / Aggressor arrested and charged with battery,Arrest,16-00668,-87.6041439,41.78917240000001
Theft,929 E. 57th St. ,8/5/16,8/5/16 1:00 PM to 2:00 PM,"Unattended, unsecured backpack containing wallet, laptop and various items taken from unsecured lab office / Backpack containing iPod and keys found outside Law School / Subsequent unauthorized use of credit cards reported",Open,16-00669,-87.60270899999999,41.7908878
Information / Robbery,Cottage Grove between 62nd & 63rd,8/6/16,8/6/16 8:10 AM,"Resident of off-campus private apartment building, walking in the stairway, was struck by an unknown suspect who then took cash from the victim and fled northbound on Cottage Grove / CPD case HZ380470",CPD,16-00670,-87.6059421996452,41.781309500002685
Information / Domestic Disturbance,Drexel between 52nd & 53rd,8/6/16,8/2/16 to 8/5/16 10:00 PM to 10:30 PM,UCPD officers responded to a domestic situation off-campus / Peace restored,Closed,16-00671,-87.60393094987998,41.79991580000086
Assist Other Agency / Domestic Battery,1200 E. Hyde Park ,8/6/16,8/6/16 4:55 PM,UCPD officer detained a suspect wanted by Chicago police for a domestic battery off-campus / Suspect arrested by CPD / CPD case HZ381056,CPD,16-00672,-87.595828,41.802743
Information / Battery,1400 E. 52nd St. ,8/6/16,8/6/16 9:15 PM,"An individual walking on the sidewalk off-campus was, without provocation, assaulted by a group of unknown suspects and struck with fists / Victim received medical attention on the scene by CFD EMS / CPD case HZ381358",CPD,16-00673,-87.59178910000001,41.8009798
Information / Battery,5300 S. Dorchester ,8/6/16,8/6/16 9:25 PM,An individual was struck in the face in an unprovoked assault by an unknown individual on the sidewalk off-campus / Victim received medical attention on the scene by CFD EMS / Referred to CPD,CPD,16-00674,-87.5919425,41.7992576
Non-Criminal / Fire,1144 E. 59th St. ,8/7/16,8/7/16 11:52 AM,Fire reported in metal trash container in Winter Garden / CFD responded and extinguished the fire / Cause undetermined / No property damage or injuries reported,Closed,16-00675,-87.5977571,41.7877853
Injured Person,821 E. 55th St. ,8/8/16,8/8/16 7:45 PM,Individual injured his left knee while playing soccer with friends / Provided his own transportation to ER for evaluation and treatment,Closed,16-00676,-87.6056926,41.7949489
Criminal Damage to Property,5721 S. Maryland ,8/9/16,8/8/16 to 8/9/16 11:00 AM to 6:45 AM,Unknown person(s) damaged vending machine in room K480,Open,16-00677,-87.6046094,41.7902271
Information / Theft,1155 E. 58th St. ,8/9/16,8/8/16 9:30 AM to 5:30 PM,UC owned radio taken from private vehicle that was stolen off-campus on 8/8/16 / CPD case HZ383826,CPD,16-00678,-87.5974912,41.7892027
Information / Damage to Property,6054 S. Drexel,8/9/16,8/1/16 to 8/9/16 8:45 AM to 11:30 AM,"UC owned vehicle was damaged while located at car dealer in Oak Lawn, IL / Oak Lawn PD case 16-04921",Closed,16-00679,-87.604867,41.78464
Theft,1100 E. 57th St. ,8/10/16,7/15/16 to 8/6/16 12:00 PM to 4:10 PM,Secured bicycle taken from bike rack,Open,16-00680,-87.6001136,41.7922076
Information,5700 S. Maryland ,8/10/16,8/10/16 10:55 AM,Individual reports disturbing cell phone messages from a friend,Closed,16-00681,-87.60495069999999,41.7910678
Information,5505 S. Ellis ,8/10/16,8/10/16 11:24 PM,Individual manually lifted gate arm at parking lot exit / Report generated in event lift arm was damaged as a result,Closed,16-00682,-87.601637,41.79457499999999
Theft,860 E. 59th St. ,8/11/16,8/11/16 4:15 PM to 4:20 PM,"Wallet taken from unattended, unsecured purse left in unsecured room",Open,16-00683,-87.6040539,41.7878853
Information,1100 E. 58th St. ,8/13/16,8/13/16 4:05 AM,Three individuals were observed on the roof of the building / Subjects warned of danger and escorted off the premises,Closed,16-00685,-87.59917689999999,41.7901848
